"var","rel.inf.Biodiv","rel.inf.PhysHealth"
"`Gray infrastructure_Gray infrastructure`",21.6219240719035,23.4117004857823
"Industrial_Industrial",14.0081557495085,16.5326669224743
"`Gray infrastructure_Flooding`",5.3651612237754,7.43425276789097
"Industrial_Flooding",3.6268746910103,4.86977930406263
"`Water temperature_Water temperature`",3.44273180046212,3.93443411022458
"`Gray infrastructure_Toxics`",3.06700957851665,2.5174410502878
"Sediment_Sediment",2.09734276135906,1.50583230231233
"`Gray infrastructure_Sediment`",1.51760811971489,1.99652970396751
"Flooding_Flooding",1.47458981235101,0.796445009691413
"Toxics_Toxics",1.27922055583504,0.727412591061858
"Bacteria_Bacteria",1.26077054129019,0.693940787661076
"`Urban heat island_Urban heat island`",1.16174286174923,0.658211640168732
"`Industrial_Urban heat island`",0.983581842129299,0.487833892380597
"Salmon_Biodiversity",0.93875113857604,0.556020359466443
"Industrial_Toxics",0.924017606310712,0.482209194381278
"`Water quality_Water quality`",0.879518080692298,0.434941636649774
"`Green infrastructure_Noise`",0.852864039357623,0.66586062888326
"`Bacteria_Physical health`",0.785731547426669,0.629160194130653
"`Climate mitigation_Biodiversity`",0.750783764707469,0.806054403551646
"Noise_Noise",0.719240840329665,0.868876794200466
"`Noise_Property value`",0.684681944787013,0.87147390705126
"`Industrial_Property value`",0.674850160755613,0.813219637826481
"`Green infrastructure_Local jobs`",0.620999165350602,0.237015112104768
"`Noise_Physical health`",0.599500101208179,0.280043349028738
"Residential_Residential",0.592789509842395,0.40586359249444
"`Biodiversity_Local foods`",0.57970182772256,0.290151985473828
"`Water quality_Biodiversity`",0.56701112943538,0.375052977917194
"`Urban heat island_Water temperature`",0.534984311084383,0.374883905208116
"Industrial_Sediment",0.5185071972244,0.458398576473097
"`Noise_Social cohesion`",0.503868964749279,0.593358600091063
"`Source control_Toxics`",0.49845644560633,0.428483098651627
"Flooding_Sediment",0.495940109295386,0.291049127987636
"Noise_Biodiversity",0.483939941309893,0.219963640256589
"Residential_Toxics",0.473078345499944,0.247544695389344
"`Local foods_Mental health`",0.470034655565718,0.201906894508382
"`Local foods_Social cohesion`",0.457795850389154,0.315082171146463
"`Mental health_Physical health`",0.429240233023214,0.201600623033653
"`Air quality_Physical health`",0.428465369357017,0.214431727778679
"`Physical health_Mental health`",0.424344088687547,0.469929224065622
"`Water quality_Local foods`",0.42072137959953,0.279645570452073
"`Access to nature_Physical health`",0.406497582832634,0.255821565653333
"`Economic wellbeing_Physical health`",0.399990425160551,0.712706984749884
"`Local foods_Local foods`",0.398600010731958,0.810555480630065
"`Transportation_Urban heat island`",0.389998795343482,0.278230836843477
"Industrial_Noise",0.388668569077528,0.264271043138297
"`Climate mitigation_Water temperature`",0.386612199513602,0.299375637770499
"`Local jobs_Economic wellbeing`",0.380769423398203,0.427712980185968
"`Green infrastructure_Climate mitigation`",0.370592052075318,0.435372220547049
"`Salmon_Local foods`",0.369628077053282,0.116590769002623
"Transportation_Transportation",0.367386612985956,0.294129249241143
"Flooding_Bacteria",0.366370004736345,0.317065344440893
"`Physical health_Economic wellbeing`",0.362505320081871,0.245165793779191
"`Mental health_Mental health`",0.354739637338124,0.231004842573986
"`Property value_Economic wellbeing`",0.344268978939091,0.281346287800567
"`Local foods_Affordability`",0.34378278430595,0.201617576941894
"Nutrients_Nutrients",0.333677565525806,0.592239348744118
"`Local jobs_Social cohesion`",0.332397533286331,0.226362833215391
"`Economic wellbeing_Economic wellbeing`",0.331423289860344,0.159447165112689
"`Green infrastructure_Urban heat island`",0.329546379813121,0.189409787943496
"`Water quality_Salmon`",0.320962239134594,0.337800082410653
"`Transportation_Air quality`",0.309584232641324,0.397165902053009
"`Walkability_Climate mitigation`",0.306749217668544,0.150034422128851
"`Urban heat island_Biodiversity`",0.304989385419801,0.185122325670614
"`Climate mitigation_Salmon`",0.302041821781334,0.57996936371132
"`Access to nature_Property value`",0.298057653613254,0.252239187187147
"`Mental health_Economic wellbeing`",0.292686816490843,0.137553121611673
"Residential_Bacteria",0.289756408868857,0.206925803753328
"`Physical health_Physical health`",0.286190435736226,0.152412480805507
"`Green infrastructure_Green infrastructure`",0.285949353792242,0.344434945878276
"`Nutrients_Water quality`",0.281140737212229,0.219310958561677
"`Green infrastructure_Flooding`",0.278360177765455,0.328269219448818
"Biodiversity_Salmon",0.275588665978507,0.187923837887953
"`Walkability_Property value`",0.27462603010611,0.453294064209315
"Toxics_Biodiversity",0.270152911206074,0.135422624748098
"`Climate mitigation_Climate mitigation`",0.269651210910166,0.143951916748441
"`Access to nature_Affordability`",0.267038920513249,0.396299214474383
"`Local foods_Physical health`",0.263622277934567,0.0713670197822402
"`Noise_Mental health`",0.263552530545136,0.655800916185458
"`Water temperature_Water quality`",0.263042946596942,0.756235295944035
"`Industrial_Water temperature`",0.261159194798448,0.276056438507241
"Affordability_Affordability",0.258084646354045,0.211282196715401
"`Green infrastructure_Air quality`",0.257109662257911,0.219873546778295
"`Transportation_Property value`",0.251582759278987,0.21450428352045
"`Affordability_Economic wellbeing`",0.246342852037968,0.122831336133329
"`Property value_Property value`",0.244427746128104,0.123144255123823
"Residential_Nutrients",0.239895722154686,0.219820941641096
"`Social cohesion_Social cohesion`",0.239857091106781,0.176526825989495
