"var","rel.inf.Biodiv","rel.inf.PhysHealth"
"Industrial_Industrial",28.8202481333096,26.5166524672049
"`Green infrastructure_Green infrastructure`",14.9262548419304,14.3341555759863
"`Climate mitigation_Climate mitigation`",3.63750176379561,3.43059943750378
"`Climate mitigation_Urban heat island`",2.64888723487148,1.98022176103352
"Flooding_Flooding",2.2636491021277,2.61848984541702
"Walkability_Walkability",2.20966470955257,1.60823406236012
"`Access to nature_Walkability`",2.14506320729139,1.24477326861308
"`Green infrastructure_Flooding`",1.89842853257859,2.02827820965218
"Industrial_Toxics",1.79750280678567,1.29755722204901
"`Green infrastructure_Access to nature`",1.69350786379057,1.11118589452722
"Industrial_Flooding",1.42923198234501,2.0406726569211
"Sediment_Sediment",0.92852634075058,0.829706827347245
"`Transportation_Urban heat island`",0.79176097465173,0.636496385227451
"`Walkability_Climate mitigation`",0.76271544748459,0.824824599348341
"`Access to nature_Physical health`",0.753468968837411,0.860857654399221
"`Green infrastructure_Climate mitigation`",0.720448793772263,0.573682352347466
"Residential_Bacteria",0.701099592712856,0.420246702277416
"`Social cohesion_Mental health`",0.67865070318089,0.623365920586307
"`Physical health_Mental health`",0.67057093634518,0.619240458848594
"`Sediment_Water quality`",0.665345491121706,0.613237473209758
"`Access to nature_Access to nature`",0.648698945784236,1.0466477282234
"Flooding_Bacteria",0.575408247310789,0.618830225713386
"`Bacteria_Water quality`",0.564919101681674,0.481693098862904
"Walkability_Noise",0.550572718901386,0.466791985784086
"`Source control_Source control`",0.532661950936643,0.650630429156862
"`Flooding_Property value`",0.526028271030712,0.420334922162011
"`Green infrastructure_Sediment`",0.513219190266253,0.75710282420701
"`Bacteria_Local foods`",0.498584404641156,0.512330442423754
"Industrial_Noise",0.461951181049365,0.431962244136995
"`Gray infrastructure_Local jobs`",0.460404419231847,0.460022877654241
"`Climate mitigation_Biodiversity`",0.455944240941455,0.523485656254859
"`Urban heat island_Urban heat island`",0.449143927765433,0.269316875823728
"`Access to nature_Mental health`",0.448384746075806,0.379559989748555
"`Affordability_Economic wellbeing`",0.435292655755172,0.653176794569999
"`Climate mitigation_Water temperature`",0.435118351308114,0.417655624634502
"Nutrients_Nutrients",0.43006955056228,0.328941511792042
"`Local foods_Mental health`",0.42394125683704,0.531405238502234
"`Water quality_Water quality`",0.416920913603285,0.626129996611379
"`Walkability_Air quality`",0.400097366079602,0.240286297045997
"`Property value_Affordability`",0.398398628362544,0.141214905487257
"`Water temperature_Water temperature`",0.397141064770696,0.465021649080353
"`Mental health_Mental health`",0.391501724786545,0.336892229103127
"Transportation_Transportation",0.390742220896896,0.326553230693381
"`Gray infrastructure_Sediment`",0.388269010932186,0.473832032849082
"`Green infrastructure_Local jobs`",0.367272887850597,0.400816948569884
"`Industrial_Local jobs`",0.36326156781728,0.697093260450365
"`Biodiversity_Local foods`",0.361792336363856,0.240848672673519
"Industrial_Sediment",0.358206026110509,0.332016225954139
"Toxics_Biodiversity",0.357206171230567,0.301275282595666
"Residential_Sediment",0.352369270557994,0.344510440626377
"`Air quality_Air quality`",0.347014131168278,0.45127047519395
"`Green infrastructure_Toxics`",0.322729920997178,0.385193115511973
