"var","rel.inf.Biodiv","rel.inf.PhysHealth"
"`Source control_Source control`",25.1904021459289,21.300633497818
"Toxics_Toxics",9.84409117983365,8.25660112610663
"Industrial_Industrial",8.88318189293527,7.04151393192659
"`Source control_Toxics`",6.36466260261563,4.32486087478552
"`Water temperature_Water temperature`",1.70760213350944,1.56658931527585
"Toxics_Biodiversity",1.4141428227198,1.19485384366876
"`Green infrastructure_Green infrastructure`",1.29466369176021,0.665191789586637
"Industrial_Toxics",1.22943034343818,0.929508675933326
"Walkability_Walkability",1.20952401116832,0.584316183025095
"Flooding_Flooding",1.1630171182688,1.77808549732402
"`Climate mitigation_Biodiversity`",1.06677682878536,0.324412006989652
"Biodiversity_Biodiversity",1.03021249701002,1.25554875600094
"Walkability_Noise",0.954759189385386,1.16541338962701
"`Noise_Physical health`",0.953085776876892,0.544946801881673
"Industrial_Sediment",0.947431779129376,1.01549284559159
"`Green infrastructure_Toxics`",0.864327469610333,0.631403372127611
"`Green infrastructure_Sediment`",0.756523147967947,0.927309044568788
"`Urban heat island_Water temperature`",0.724863363858328,0.569429797928624
"Nutrients_Nutrients",0.708812697594251,0.459619340121214
"`Economic wellbeing_Physical health`",0.693942297930762,0.411015739641433
"`Local foods_Local foods`",0.688734225176937,0.478937565162177
"`Air quality_Physical health`",0.642503648174061,0.965157907430135
"`Green infrastructure_Air quality`",0.637271190885935,0.350902484252999
"Bacteria_Bacteria",0.620154384414827,1.23738053546489
"`Access to nature_Affordability`",0.614717333401407,0.561425955399333
"Transportation_Transportation",0.591652787174886,0.33617632756065
"`Access to nature_Walkability`",0.567336322660185,0.494044567382868
"`Flooding_Property value`",0.567334083270281,0.503004379960354
"`Social cohesion_Social cohesion`",0.546846936326561,0.106558979961528
"Flooding_Bacteria",0.514174497869257,0.41588528002154
"`Nutrients_Water quality`",0.50940137042123,0.539949412928685
"`Toxics_Water quality`",0.508895321943089,0.513542492277786
"Noise_Biodiversity",0.498838120781127,0.216346208702258
"`Salmon_Physical health`",0.484867587781587,0.640802118716476
"`Toxics_Physical health`",0.481804073428582,0.760547586461725
"`Noise_Social cohesion`",0.480529626752969,0.224782976522662
"Flooding_Salmon",0.479149757416934,0.590565623472634
"Transportation_Toxics",0.47721877924921,0.769971224619903
"`Economic wellbeing_Affordability`",0.466534621177864,0.358488336822975
"Residential_Bacteria",0.462297053626275,0.37749180037892
"`Gray infrastructure_Flooding`",0.453151850809119,0.579622455116378
"`Water quality_Local foods`",0.431112181504081,0.192229761255954
"`Economic wellbeing_Mental health`",0.430320975352489,0.948911108255266
"Flooding_Sediment",0.42250510318064,0.503111833040652
"`Local foods_Physical health`",0.395231365777909,0.505829660711093
"`Flooding_Air quality`",0.387809345940356,0.150181171092905
"`Green infrastructure_Noise`",0.383060476523737,0.361865103071553
"`Physical health_Economic wellbeing`",0.379770783810769,0.702727188096074
"Salmon_Salmon",0.375096304982234,0.364583344904635
"Industrial_Noise",0.372543317069752,0.588946686469268
"`Sediment_Water quality`",0.371653573835552,0.656377637682384
"`Walkability_Property value`",0.363377554342842,0.917931390729694
"`Transportation_Urban heat island`",0.362759765863313,0.625387713439822
"`Industrial_Urban heat island`",0.361756469488169,0.408109086742508
"Sediment_Sediment",0.353647494678179,0.445510031881866
"`Water quality_Biodiversity`",0.353589844904465,0.167866340874045
"`Property value_Affordability`",0.33827373852816,0.340405930437761
"`Property value_Property value`",0.332684797174886,0.644619993280915
"`Local jobs_Economic wellbeing`",0.32910206485876,0.395286150218516
"`Green infrastructure_Access to nature`",0.328550350181021,0.383127749519943
"`Urban heat island_Biodiversity`",0.328025564825166,0.387691060771159
"`Local foods_Mental health`",0.321102241761736,0.397681096753691
"Transportation_Noise",0.319940193823714,0.196731645455039
"`Green infrastructure_Flooding`",0.313437240349157,0.238565446831274
"`Local foods_Affordability`",0.312297200106573,0.439124676317709
"`Mental health_Physical health`",0.299641768415489,0.274294648232948
"`Walkability_Air quality`",0.296981274968069,0.49334954408202
"Biodiversity_Salmon",0.288373941233644,0.227069904855994
"`Urban heat island_Physical health`",0.285119784239828,0.324009861384578
"`Bacteria_Local foods`",0.273217630952494,0.531686344623771
"`Social cohesion_Mental health`",0.272395056373764,0.210971024967001
"`Physical health_Mental health`",0.270484762854019,0.690970017904417
"`Climate mitigation_Urban heat island`",0.268104434577701,0.372045832406527
"`Industrial_Local jobs`",0.267255089448007,0.189149028654136
"`Industrial_Air quality`",0.26195869655598,0.59141521537822
"`Air quality_Social cohesion`",0.261282646057659,0.373140773519438
"`Climate mitigation_Salmon`",0.257277897468646,1.31530407719955
"`Transportation_Air quality`",0.252254754279971,0.370924617672989
"`Water quality_Water quality`",0.250701380686954,0.45662764380356
"`Access to nature_Access to nature`",0.249439249906419,0.155390293238041
"`Mental health_Economic wellbeing`",0.237196112920893,0.254602319149629
"`Gray infrastructure_Sediment`",0.236129777139059,0.216122950320272
"`Water quality_Salmon`",0.23268683124417,0.267248899286865
"`Access to nature_Local foods`",0.232247531218162,0.723397425153247
"`Industrial_Water temperature`",0.231913044419474,0.159252284571985
"`Mental health_Mental health`",0.22793983128148,0.0906059487919655
"`Noise_Mental health`",0.225165623351653,0.304579189792071
"`Local foods_Social cohesion`",0.219961784141918,0.258224265654105
"`Gray infrastructure_Gray infrastructure`",0.219900153981698,0.191754694876317
"`Access to nature_Property value`",0.21893431102187,0.55958343060876
"Residential_Residential",0.216130969018351,0.249128459937457
"`Green infrastructure_Urban heat island`",0.214795916524121,0.357849792532032
"`Walkability_Physical health`",0.210821903481845,0.232129843222138
"`Affordability_Economic wellbeing`",0.208379150232351,0.468880718604898
"`Gray infrastructure_Local jobs`",0.207951579436783,0.338113257506326
"`Water quality_Physical health`",0.207299458684734,0.417780447204782
"`Water temperature_Water quality`",0.198705566788204,0.458424366867086
"`Salmon_Local foods`",0.196685429876262,0.195102465769934
"`Physical health_Physical health`",0.195617241945986,0.510267039793246
"`Walkability_Social cohesion`",0.194017408462169,0.122319845502971
"Industrial_Flooding",0.193480732469357,0.516633673044487
"`Biodiversity_Local foods`",0.191589237981968,0.377964346980256
"`Noise_Property value`",0.191478158894585,0.132282184352211
"`Bacteria_Water quality`",0.188620928235742,0.403828033578821
"`Gray infrastructure_Toxics`",0.186787068012665,0.327562647589195
"`Urban heat island_Urban heat island`",0.183533980943221,0.0954401769552573
"`Access to nature_Physical health`",0.181312041504226,0.149899671814926
"`Green infrastructure_Local jobs`",0.17632682821052,0.0625970600138514
"`Green infrastructure_Climate mitigation`",0.171094527986175,0.217179815536912
"Residential_Toxics",0.166897832574259,0.380583547351515
"Residential_Sediment",0.160977294192759,0.252216100217205
"`Local jobs_Social cohesion`",0.158475428200461,0.114409317569703
"`Climate mitigation_Water temperature`",0.154199445246486,0.161427108829088
"Affordability_Affordability",0.145790942671229,0.493368254172199
"`Economic wellbeing_Economic wellbeing`",0.143092181627236,0.390483694873562
"`Walkability_Climate mitigation`",0.142698216854581,0.16620815689937
"`Access to nature_Mental health`",0.132503494839398,0.222344657441959
"`Water quality_Social cohesion`",0.130011920226763,0.220020142179907
"`Local jobs_Local jobs`",0.129659031950341,1.33636535122261
"Transportation_Flooding",0.127512060453277,0.597312329509016
"`Access to nature_Social cohesion`",0.126196930027164,0.176545024602526
"Noise_Noise",0.123271641585719,0.252632960532281
"`Air quality_Air quality`",0.118854017984104,0.640189888999188
"`Industrial_Property value`",0.117452500055206,0.356168318833334
"Salmon_Biodiversity",0.110195380104666,0.20540519424131
"Walkability_Affordability",0.107688275353189,0.193567478914404
"Residential_Nutrients",0.104148251233332,0.154524925814254
"`Local jobs_Property value`",0.0979545872255602,0.151160346851296
"`Transportation_Water temperature`",0.0908657449801174,0.178338784208268
"`Property value_Economic wellbeing`",0.0892307734147057,0.256493396674857
"Toxics_Salmon",0.0862072697521435,0.302105320313121
"`Climate mitigation_Climate mitigation`",0.0852853526465488,0.143232644380104
"`Transportation_Property value`",0.0692944600355389,0.394030906901689
"`Bacteria_Physical health`",0.0678309574040705,0.0946302091525158
