var,rel.inf.Biodiv,rel.inf.PhysHealth
Residential_Residential,21.97820174,23.34929102
`Gray infrastructure_Gray infrastructure`,17.76684885,17.23808804
`Gray infrastructure_Flooding`,6.832322649,7.011242222
Flooding_Flooding,6.375706218,6.697449632
`Gray infrastructure_Toxics`,5.73447596,4.480099326
Nutrients_Nutrients,2.831817345,2.805881837
Residential_Toxics,2.638524473,2.653905573
Residential_Nutrients,2.038128629,1.860387396
Residential_Sediment,1.228599335,0.900178746
Residential_Bacteria,1.193675165,1.330031854
Noise_Noise,1.192960936,0.978096398
`Sediment_Water quality`,0.947149572,0.672235127
`Nutrients_Water quality`,0.915067624,1.630816034
`Gray infrastructure_Sediment`,0.654882086,0.742750582
Flooding_Sediment,0.653182271,0.467906843
Flooding_Bacteria,0.635171578,0.815979558
`Water quality_Social cohesion`,0.630340982,0.936619103
`Bacteria_Physical health`,0.627418287,0.587160302
Flooding_Salmon,0.603307318,0.66332398
`Source control_Toxics`,0.576356694,0.254670519
Salmon_Biodiversity,0.569478528,0.419233609
`Local foods_Affordability`,0.513687377,0.656437954
`Transportation_Air quality`,0.500250453,0.492292421
`Air quality_Social cohesion`,0.476526424,0.510225808
Transportation_Transportation,0.453817237,0.289478373
`Green infrastructure_Urban heat island`,0.412866672,0.448576532
Affordability_Affordability,0.40789152,0.394420111
Sediment_Sediment,0.40325183,0.221998182
Biodiversity_Biodiversity,0.398101859,0.478280247
`Access to nature_Physical health`,0.396608787,0.470501263
`Toxics_Water quality`,0.367077218,0.28375648
`Climate mitigation_Climate mitigation`,0.357505574,0.184553166
`Water quality_Physical health`,0.353049942,0.324063631
`Water quality_Salmon`,0.353019733,0.525366675
`Transportation_Water temperature`,0.341203336,0.385362172
`Industrial_Urban heat island`,0.339408213,0.353638732
Toxics_Toxics,0.335349222,0.262084834
`Green infrastructure_Green infrastructure`,0.325514975,0.142807284
`Economic wellbeing_Physical health`,0.324097403,0.412816077
`Green infrastructure_Sediment`,0.310686799,0.538987483
`Industrial_Residential property value`,0.308992265,0.175718161
