"var","rel.inf.Biodiv","rel.inf.PhysHealth"
"Transportation_Transportation",28.7451308185588,28.8430450552983
"`Green infrastructure_Green infrastructure`",13.6143319591727,13.3647525497426
"`Climate mitigation_Climate mitigation`",3.45335820010981,3.95487511310947
"Walkability_Walkability",2.35499894957621,2.56219745554428
"`Access to nature_Access to nature`",2.27190164205084,2.54065537993854
"`Climate mitigation_Urban heat island`",1.96744106585663,1.57238299207035
"`Access to nature_Walkability`",1.83736293962693,1.73521737085244
"Toxics_Toxics",1.80246280452234,1.49746143619431
"Transportation_Toxics",1.58980122560975,1.44370549317054
"`Green infrastructure_Flooding`",1.54957245190731,1.60428602752057
"`Green infrastructure_Climate mitigation`",1.51911192987897,1.36714081019714
"Transportation_Flooding",1.36685014189975,1.78484874973655
"`Climate mitigation_Water temperature`",1.28549993582656,1.26593407326439
"`Urban heat island_Biodiversity`",0.910288510972402,0.528734108580672
"Flooding_Flooding",0.901160183431204,1.16417774603145
"`Walkability_Climate mitigation`",0.863547179838797,0.679682401096722
"`Salmon_Local foods`",0.782044493382216,0.491068894411892
"`Water quality_Water quality`",0.76390435409883,0.48607416498889
"`Green infrastructure_Toxics`",0.696500139513217,0.569667179932539
"`Affordability_Economic wellbeing`",0.681945970069777,0.30063994685587
"`Green infrastructure_Access to nature`",0.676454129644307,1.04138930656519
"`Property value_Property value`",0.646665436811636,0.358122561985367
"`Transportation_Urban heat island`",0.628342346980412,0.786933769620842
"`Climate mitigation_Salmon`",0.623493884408698,0.595379820193462
"`Air quality_Air quality`",0.596289582381295,0.60588204324712
"Flooding_Sediment",0.570081986417505,0.440848838397946
"`Flooding_Property value`",0.552818172351078,0.13317008236296
"Industrial_Noise",0.551056812854295,0.768348993336254
"`Local foods_Social cohesion`",0.548584646026686,0.179956912909588
"`Access to nature_Local foods`",0.547094866630292,0.625016691730138
"Walkability_Noise",0.531451955925671,0.52618759519222
"Affordability_Affordability",0.518492587490079,0.269168240385385
"`Water quality_Social cohesion`",0.503553929338591,0.704547501774555
"`Urban heat island_Urban heat island`",0.491329766446819,0.582797333145042
"`Social cohesion_Mental health`",0.48142699551674,0.692646411532702
"`Salmon_Physical health`",0.432198842774928,0.379352208965148
"Toxics_Salmon",0.429815794332095,0.443941041196989
"Bacteria_Bacteria",0.419772297262764,0.383729419598121
"`Local foods_Mental health`",0.415295751685442,0.296197702586905
"Industrial_Flooding",0.41507077863744,0.258480941070489
"Biodiversity_Salmon",0.370868321336223,0.182350056985125
"Flooding_Bacteria",0.370639289989348,0.502419799382002
"`Transportation_Property value`",0.352142441343764,0.328317873563119
"`Walkability_Physical health`",0.34810888741676,0.583981183504589
"`Physical health_Economic wellbeing`",0.345971243981289,0.299508055691658
"`Access to nature_Mental health`",0.34257404816872,0.325054875837628
"`Economic wellbeing_Affordability`",0.338055339904101,0.27083551321549
"`Local jobs_Local jobs`",0.3359013872297,0.435769968691935
"Walkability_Affordability",0.335195043553768,0.374020621594081
"`Walkability_Property value`",0.324961261398236,0.124444997489722
"`Mental health_Mental health`",0.314720949116724,0.492485123688678
"Residential_Toxics",0.313711440154074,0.188511859375999
"`Air quality_Social cohesion`",0.305102120150292,0.412349411702314
"`Physical health_Physical health`",0.303116279398306,0.319819130929293
"`Toxics_Water quality`",0.301042042922227,0.224144582334141
"Flooding_Salmon",0.30060976398191,0.101422600144807
"`Water quality_Salmon`",0.299216365780112,0.388823056741891
"`Source control_Source control`",0.29546590857692,0.343122728819243
"`Property value_Economic wellbeing`",0.292488919713141,0.259621354132598
"`Source control_Toxics`",0.290156619983556,0.229706611820283
"`Economic wellbeing_Mental health`",0.289609548305412,0.235519485402572
"`Noise_Property value`",0.287579480982255,0.301248771540203
"`Walkability_Air quality`",0.285246807002203,0.206483179903229
"`Toxics_Physical health`",0.279919932530395,0.167645251421981
"Residential_Sediment",0.27986067897471,0.284705431260269
"`Biodiversity_Local foods`",0.273676726421996,0.424668585835296
"`Water quality_Biodiversity`",0.268186758793841,0.480209469958513
