"var","rel.inf.Biodiv","rel.inf.PhysHealth"
"`Source control_Source control`",25.3221011238761,23.9507788591175
"Toxics_Toxics",11.3688168293934,10.019429163798
"Transportation_Transportation",7.28544676584548,7.9345120528651
"`Source control_Toxics`",5.4927949269037,5.15205262227439
"Transportation_Toxics",2.89648608901781,4.15302031493272
"Transportation_Flooding",1.72436525473812,2.16902567418733
"`Salmon_Local foods`",1.54907623038686,1.7904176065663
"Bacteria_Bacteria",1.35679056471459,1.16534656088275
"`Climate mitigation_Biodiversity`",1.25281802602578,1.62031471854286
"Toxics_Salmon",1.19647297092908,1.22446710107947
"Flooding_Sediment",1.15017178131594,1.34306463025769
"`Urban heat island_Physical health`",1.09266036203877,0.737432020397347
"`Sediment_Water quality`",1.01199326257828,0.736756547312893
"`Economic wellbeing_Economic wellbeing`",0.957937579639693,0.587631262543313
"`Climate mitigation_Urban heat island`",0.899897617258374,0.884180508879794
"`Climate mitigation_Water temperature`",0.812323919818587,0.544322912633363
"`Social cohesion_Social cohesion`",0.796151674454259,0.625898041610175
"`Water quality_Local foods`",0.740823532973745,1.12996704239488
"`Water quality_Biodiversity`",0.733623063698046,0.504128328203739
"Biodiversity_Biodiversity",0.688014433751726,0.506374977765574
"`Gray infrastructure_Flooding`",0.664144652536356,0.474353869365194
"`Salmon_Physical health`",0.651357031606586,0.568416761674477
"`Transportation_Air quality`",0.645895057634603,0.705934513410125
"Flooding_Flooding",0.60330851652139,0.45266181747283
"`Mental health_Mental health`",0.601449201456006,0.453451877592853
"Salmon_Salmon",0.594564899883275,0.624230723997032
"Industrial_Flooding",0.57349754167857,0.484229119891384
"`Local jobs_Economic wellbeing`",0.568633038418475,0.743781907309477
"`Water temperature_Water temperature`",0.568293798755995,0.461399810540158
"`Climate mitigation_Climate mitigation`",0.567891629879574,0.238587106491777
"`Transportation_Urban heat island`",0.535095684519357,0.312948450509562
"`Green infrastructure_Green infrastructure`",0.531601225451848,0.456168662755889
"Noise_Noise",0.528995983187984,0.556566210940736
"Toxics_Biodiversity",0.503044576049837,0.243763221333846
"`Local foods_Affordability`",0.501347580722014,0.519262304978646
"`Green infrastructure_Sediment`",0.486226021786484,0.659918832239237
"`Green infrastructure_Flooding`",0.481545727608469,0.369916414500149
"`Urban heat island_Biodiversity`",0.472944072625764,0.568207896674178
"`Water quality_Physical health`",0.464288205100839,0.898558424003421
"`Access to nature_Affordability`",0.459957970881464,0.579039117526609
"Residential_Sediment",0.445202539405583,0.352761571277396
"`Green infrastructure_Air quality`",0.439608829061783,0.368684434428844
"Industrial_Toxics",0.416326855791491,0.132656383809045
