"Link","ModelName","LandUse","Solution","Node","difference","difference_perc","Type"
"Residential->Toxics","Sims_Mod_1","Transportation","source","Access to nature",0,0,"human"
"Industrial->Toxics","Sims_Mod_2","Transportation","source","Access to nature",0,0,"human"
"Transportation->Toxics","Sims_Mod_3","Transportation","source","Access to nature",0,0,"human"
"Transportation->Water temperature","Sims_Mod_4","Transportation","source","Access to nature",0,0,"human"
"Transportation->Flooding","Sims_Mod_5","Transportation","source","Access to nature",0,0,"human"
"Residential->Nutrients","Sims_Mod_6","Transportation","source","Access to nature",0,0,"human"
"Residential->Sediment","Sims_Mod_7","Transportation","source","Access to nature",0,0,"human"
"Residential->Bacteria","Sims_Mod_8","Transportation","source","Access to nature",0,0,"human"
"Industrial->Sediment","Sims_Mod_9","Transportation","source","Access to nature",0,0,"human"
"Industrial->Flooding","Sims_Mod_10","Transportation","source","Access to nature",0,0,"human"
"Flooding->Bacteria","Sims_Mod_11","Transportation","source","Access to nature",0,0,"human"
"Flooding-*Salmon","Sims_Mod_12","Transportation","source","Access to nature",0,0,"human"
"Water quality->Salmon","Sims_Mod_13","Transportation","source","Access to nature",0,0,"human"
"Air quality->Physical health","Sims_Mod_14","Transportation","source","Access to nature",0,0,"human"
"Urban heat island-*Physical health","Sims_Mod_15","Transportation","source","Access to nature",0,0,"human"
"Nutrients-*Water quality","Sims_Mod_16","Transportation","source","Access to nature",0,0,"human"
"Flooding->Sediment","Sims_Mod_17","Transportation","source","Access to nature",0,0,"human"
"Sediment-*Water quality","Sims_Mod_18","Transportation","source","Access to nature",0,0,"human"
"Mental health->Physical health","Sims_Mod_19","Transportation","source","Access to nature",0,0,"human"
"Water quality->Physical health","Sims_Mod_20","Transportation","source","Access to nature",0,0,"human"
"Social cohesion->Mental health","Sims_Mod_21","Transportation","source","Access to nature",0,0,"human"
"Toxics-*Physical health","Sims_Mod_22","Transportation","source","Access to nature",0,0,"human"
"Biodiversity->Salmon","Sims_Mod_23","Transportation","source","Access to nature",0,0,"human"
"Urban heat island-*Biodiversity","Sims_Mod_24","Transportation","source","Access to nature",0,0,"human"
"Bacteria-*Physical health","Sims_Mod_25","Transportation","source","Access to nature",0,0,"human"
"Air quality->Social cohesion","Sims_Mod_26","Transportation","source","Access to nature",0,0,"human"
"Access to nature->Social cohesion","Sims_Mod_27","Transportation","source","Access to nature",0,0,"human"
"Transportation->Noise","Sims_Mod_28","Transportation","source","Access to nature",0,0,"human"
"Water quality->Biodiversity","Sims_Mod_29","Transportation","source","Access to nature",0,0,"human"
"Noise-*Biodiversity","Sims_Mod_30","Transportation","source","Access to nature",0,0,"human"
"Salmon->Physical health","Sims_Mod_31","Transportation","source","Access to nature",0,0,"human"
"Climate mitigation->Salmon","Sims_Mod_32","Transportation","source","Access to nature",0,0,"human"
"Climate mitigation-*Water temperature","Sims_Mod_33","Transportation","source","Access to nature",0,0,"human"
"Climate mitigation->Biodiversity","Sims_Mod_34","Transportation","source","Access to nature",-0.001,-0.1,"human"
"Access to nature->Physical health","Sims_Mod_35","Transportation","source","Access to nature",0,0,"human"
"Flooding-*Air quality","Sims_Mod_36","Transportation","source","Access to nature",0,0,"human"
"Industrial->Noise","Sims_Mod_37","Transportation","source","Access to nature",0,0,"human"
"Transportation-*Air quality","Sims_Mod_38","Transportation","source","Access to nature",0,0,"human"
"Economic wellbeing->Physical health","Sims_Mod_39","Transportation","source","Access to nature",0,0,"human"
"Affordability->Economic wellbeing","Sims_Mod_40","Transportation","source","Access to nature",0,0,"human"
"Access to nature-*Affordability","Sims_Mod_41","Transportation","source","Access to nature",0,0,"human"
"Local foods->Social cohesion","Sims_Mod_42","Transportation","source","Access to nature",0,0,"human"
"Salmon->Local foods","Sims_Mod_43","Transportation","source","Access to nature",0,0,"human"
"Water quality->Local foods","Sims_Mod_44","Transportation","source","Access to nature",0,0,"human"
"Toxics-*Water quality","Sims_Mod_45","Transportation","source","Access to nature",0,0,"human"
"Local foods->Physical health","Sims_Mod_46","Transportation","source","Access to nature",0,0,"human"
"Water quality->Social cohesion","Sims_Mod_47","Transportation","source","Access to nature",0,0,"human"
"Local jobs->Economic wellbeing","Sims_Mod_48","Transportation","source","Access to nature",0,0,"human"
"Walkability->Climate mitigation","Sims_Mod_49","Transportation","source","Access to nature",0,0,"human"
"Walkability->Affordability","Sims_Mod_50","Transportation","source","Access to nature",0,0,"human"
"Access to nature->Walkability","Sims_Mod_51","Transportation","source","Access to nature",0,0,"human"
"Walkability->Social cohesion","Sims_Mod_52","Transportation","source","Access to nature",0,0,"human"
"Walkability->Air quality","Sims_Mod_53","Transportation","source","Access to nature",0,0,"human"
"Walkability-*Noise","Sims_Mod_54","Transportation","source","Access to nature",0,0,"human"
"Industrial->Water temperature","Sims_Mod_55","Transportation","source","Access to nature",0,0,"human"
"Toxics-*Biodiversity","Sims_Mod_56","Transportation","source","Access to nature",0,0,"human"
"Noise-*Physical health","Sims_Mod_57","Transportation","source","Access to nature",0,0,"human"
"Access to nature->Mental health","Sims_Mod_58","Transportation","source","Access to nature",0,0,"human"
"Local foods->Affordability","Sims_Mod_59","Transportation","source","Access to nature",0,0,"human"
"Water temperature-*Water quality","Sims_Mod_60","Transportation","source","Access to nature",0,0,"human"
"Bacteria-*Water quality","Sims_Mod_61","Transportation","source","Access to nature",0,0,"human"
"Bacteria-*Local foods","Sims_Mod_62","Transportation","source","Access to nature",0,0,"human"
"Walkability->Physical health","Sims_Mod_63","Transportation","source","Access to nature",0,0,"human"
"Flooding-*Property value","Sims_Mod_64","Transportation","source","Access to nature",0,0,"human"
"Property value-*Affordability","Sims_Mod_65","Transportation","source","Access to nature",0,0,"human"
"Noise-*Property value","Sims_Mod_66","Transportation","source","Access to nature",0,0,"human"
"Access to nature->Property value","Sims_Mod_67","Transportation","source","Access to nature",0,0,"human"
"Industrial-*Property value","Sims_Mod_68","Transportation","source","Access to nature",0,0,"human"
"Transportation->Property value","Sims_Mod_69","Transportation","source","Access to nature",0,0,"human"
"Walkability->Property value","Sims_Mod_70","Transportation","source","Access to nature",0,0,"human"
"Property value->Economic wellbeing","Sims_Mod_71","Transportation","source","Access to nature",0,0,"human"
"Local jobs->Property value","Sims_Mod_72","Transportation","source","Access to nature",0,0,"human"
"Gray infrastructure-*Flooding","Sims_Mod_73","Transportation","source","Access to nature",0,0,"human"
"Gray infrastructure-*Sediment","Sims_Mod_74","Transportation","source","Access to nature",0,0,"human"
"Gray infrastructure-*Toxics","Sims_Mod_75","Transportation","source","Access to nature",0,0,"human"
"Green infrastructure-*Toxics","Sims_Mod_76","Transportation","source","Access to nature",0,0,"human"
"Green infrastructure->Access to nature","Sims_Mod_77","Transportation","source","Access to nature",0,0,"human"
"Green infrastructure->Climate mitigation","Sims_Mod_78","Transportation","source","Access to nature",0,0,"human"
"Green infrastructure-*Noise","Sims_Mod_79","Transportation","source","Access to nature",0,0,"human"
"Gray infrastructure->Local jobs","Sims_Mod_80","Transportation","source","Access to nature",0,0,"human"
"Green infrastructure->Local jobs","Sims_Mod_81","Transportation","source","Access to nature",0,0,"human"
"Source control-*Toxics","Sims_Mod_82","Transportation","source","Access to nature",0,0,"human"
"Green infrastructure-*Flooding","Sims_Mod_83","Transportation","source","Access to nature",0,0,"human"
"Green infrastructure->Air quality","Sims_Mod_84","Transportation","source","Access to nature",0,0,"human"
"Green infrastructure-*Urban heat island","Sims_Mod_85","Transportation","source","Access to nature",0,0,"human"
"Toxics-*Salmon","Sims_Mod_86","Transportation","source","Access to nature",0,0,"human"
"Noise-*Mental health","Sims_Mod_87","Transportation","source","Access to nature",0,0,"human"
