"Link","ModelName","Access to nature","Affordability","Air quality","Bacteria","Biodiversity","Climate mitigation","Economic wellbeing","Flooding","Gray infrastructure","Green infrastructure","Industrial","Local foods","Local jobs","Mental health","Noise","Nutrients","Physical health","Property value","Residential","Salmon","Sediment","Social cohesion","Source control","Toxics","Transportation","Urban heat island","Walkability","Water quality","Water temperature","LandUse","Solution"
"Residential->Toxics","Sims_Mod_1",0,-0.012,0,0,-0.002,0,-0.00800000000000001,0,0,0,0,0.002,0,-0.00800000000000001,0,0,-0.00800000000000001,-0.0640000000000001,0,-0.002,0,-0.014,0,0.008,0,0,0,0.004,0,"Industrial","source"
"Industrial->Toxics","Sims_Mod_2",0,0.118,0,0,0.14,0,0.1,0,0,0,0,0.132,0,0.108,0,0,0.106,-0.00800000000000001,0,0.156,0,0.102,0,-0.97,0,0,0,0.09,0,"Industrial","source"
"Transportation->Toxics","Sims_Mod_3",0,0.01,0,0,0.018,0,0.00600000000000001,0,0,0,0,0.012,0,0.00600000000000001,0,0,0.014,-0.00600000000000001,0,0.016,0,-0.00800000000000001,0,0.05,0,0,0,0.0219999999999999,0,"Industrial","source"
"Transportation->Water temperature","Sims_Mod_4",0,0.02,0,0,0.034,0,0.036,0,0,0,0,0.034,0,0.028,0,0,0.032,-0.02,0,0.044,0,0.018,0,0.06,0,0,0,0.0119999999999999,0,"Industrial","source"
"Transportation->Flooding","Sims_Mod_5",0,-0.004,0,0,0.014,0,0.004,0,0,0,0,0.00800000000000001,0,0.00600000000000001,0,0,0.004,-0.05,0,0.016,0,0.004,0,-0.016,0,0,0,0.0199999999999999,0,"Industrial","source"
"Residential->Nutrients","Sims_Mod_6",0,0.05,0,0,0.056,0,0.054,0,0,0,0,0.0580000000000001,0,0.0600000000000001,0,0,0.0620000000000001,-0.04,0,0.0600000000000001,0,0.05,0,0.018,0,0,0,0.0359999999999999,0,"Industrial","source"
"Residential->Sediment","Sims_Mod_7",0,0.022,0,-0.001,0.042,0,0.036,0,0,0,0,0.03,0,0.038,0,0,0.044,-0.022,0,0.042,0,0.034,0,0.028,0,0,0,0.0239999999999999,0,"Industrial","source"
"Residential->Bacteria","Sims_Mod_8",0,0.014,0,0,0.036,0,0.026,0,0,0,0,0.03,0,0.028,0,0,0.026,-0.03,0,0.034,0,0.032,0,0.076,0,0,0,0.00600000000000001,0,"Industrial","source"
"Industrial->Sediment","Sims_Mod_9",0,0.0640000000000001,0,0,0.0620000000000001,0,0.0620000000000001,0,0,0,0,0.0620000000000001,0,0.0640000000000001,0,0,0.0600000000000001,-0.022,0,0.0600000000000001,0,0.054,0,0.018,0,0,0,0.0639999999999999,0,"Industrial","source"
"Industrial->Flooding","Sims_Mod_10",0,0.13,0,-1,0.126,0,0.134,-1,0,0,0,0.136,0,0.132,0,0,0.132,0.188,0,0.156,0,0.146,0,-0.018,0,0,0,0.134,0,"Industrial","source"
"Flooding->Bacteria","Sims_Mod_11",0,0.082,0,-1,0.0820000000000001,0,0.0740000000000001,0,0,0,0,0.0860000000000001,0,0.0840000000000001,0,0,0.0820000000000001,-0.04,0,0.0780000000000001,0,0.0820000000000001,0,0.102,0,0,0,0.086,0,"Industrial","source"
"Flooding-*Salmon","Sims_Mod_12",0,0.016,0,0,0.02,0,0.01,0,0,0,0,0.01,0,0.014,0,0,0.012,-0.078,0,0.022,0,0.00600000000000001,0,0.044,0,0,0,0.00800000000000001,0,"Industrial","source"
"Water quality->Salmon","Sims_Mod_13",0,0.004,0,0,0.00600000000000001,0,0.004,0,0,0,0,0.00800000000000001,0,0,0,0,-0.002,-0.08,0,0.052,0,-0.004,0,0.052,0,0,0,-0.01,0,"Industrial","source"
"Air quality->Physical health","Sims_Mod_14",0,0.022,0,0,0.028,0,0.016,0,0,0,0,0.018,0,0.01,0,0,0.016,-0.034,0,0.036,0,-0.002,0,0.034,0,0,0,0.0159999999999999,0,"Industrial","source"
"Urban heat island-*Physical health","Sims_Mod_15",0,0.002,0,0,0.00600000000000001,0,-0.00800000000000001,0,0,0,0,0.004,0,0,0,0,0.004,-0.046,0,0.00600000000000001,0,-0.002,0,0.078,0,0,0,-0.00600000000000001,0,"Industrial","source"
"Nutrients-*Water quality","Sims_Mod_16",0,-0.01,0,0,0.016,0,-0.016,0,0,0,0,-0.002,0,-0.00800000000000001,0,0,-0.012,-0.032,0,0.01,0,-0.00800000000000001,0,0.044,0,0,0,-0.004,0,"Industrial","source"
"Flooding->Sediment","Sims_Mod_17",0,0.0580000000000001,0,0,0.0740000000000001,0,0.052,0,0,0,0,0.0660000000000001,0,0.056,0,0,0.0580000000000001,-0.092,0,0.0660000000000001,0,0.05,0,0.072,0,0,0,0.0519999999999999,0,"Industrial","source"
"Sediment-*Water quality","Sims_Mod_18",0,0.076,0,0,0.0940000000000001,0,0.0880000000000001,0,0,0,0,0.0840000000000001,0,0.0820000000000001,0,0,0.0820000000000001,-0.05,0,0.094,0,0.0900000000000001,0,-0.014,0,0,0,0.106,0,"Industrial","source"
"Mental health->Physical health","Sims_Mod_19",0,0.026,0,0,0.036,0,0.032,0,0,0,0,0.036,0,0.036,0,0,0.03,-0.026,0,0.04,0,0.032,0,0.036,0,0,0,0.0319999999999999,0,"Industrial","source"
"Water quality->Physical health","Sims_Mod_20",0,0.016,0,0,0.038,0,0.026,0,0,0,0,0.02,0,0.024,0,0,0.024,-0.04,0,0.036,0,0.02,0,0.038,0,0,0,0.0259999999999999,0,"Industrial","source"
"Social cohesion->Mental health","Sims_Mod_21",0,-0.00800000000000001,0,0,0.002,0,0.002,0,0,0,0,-0.004,0,-0.002,0,0,-0.002,-0.032,0,0,0,-0.004,0,0.062,0,0,0,-0.01,0,"Industrial","source"
"Toxics-*Physical health","Sims_Mod_22",0,0.03,0,0,0.048,0,0.03,0,0,0,0,0.042,0,0.038,0,0,0.036,-0.01,0,0.052,0,0.034,0,0.002,0,0,0,0.0359999999999999,0,"Industrial","source"
"Biodiversity->Salmon","Sims_Mod_23",0,0.044,0,0,0.044,0,0.042,0,0,0,0,0.054,0,0.044,0,0,0.048,-0.0680000000000001,0,0.0780000000000001,0,0.042,0,0.006,0,0,0,0.0479999999999999,0,"Industrial","source"
"Urban heat island-*Biodiversity","Sims_Mod_24",0,0.01,0,0,0.024,0,0.00600000000000001,0,0,0,0,0.016,0,0.00600000000000001,0,0,0.00800000000000001,-0.028,0,0.022,0,0.002,0,0.06,0,0,0,0.004,0,"Industrial","source"
"Bacteria-*Physical health","Sims_Mod_25",0,0.002,0,0,0.024,0,0.012,0,0,0,0,0.022,0,0.014,0,0,0.016,-0.05,0,0.042,0,-0.00600000000000001,0,0.062,0,0,0,0.0099999999999999,0,"Industrial","source"
"Air quality->Social cohesion","Sims_Mod_26",0,0.024,0,0,0.054,0,0.036,0,0,0,0,0.044,0,0.044,0,0,0.04,-0.0660000000000001,0,0.044,0,0.048,0,-0.018,0,0,0,0.0319999999999999,0,"Industrial","source"
"Access to nature->Social cohesion","Sims_Mod_27",0,0.014,0,0,0.028,0,0.012,0,0,0,0,0.028,0,0.016,0,0,0.016,-0.0600000000000001,0,0.024,0,0.00600000000000001,0,0.044,0,0,0,0.0179999999999999,0,"Industrial","source"
"Transportation->Noise","Sims_Mod_28",0,-0.022,0,0,-0.012,0,-0.022,0,0,0,0,-0.016,0,-0.014,0,0,-0.016,-0.04,0,-0.00600000000000001,0,-0.018,0,0.022,0,0,0,-0.022,0,"Industrial","source"
"Water quality->Biodiversity","Sims_Mod_29",0,0.014,0,0,0.05,0,0.016,0,0,0,0,0.022,0,0.014,0,0,0.022,-0.042,0,0.042,0,0.022,0,0.056,0,0,0,0,0,"Industrial","source"
"Noise-*Biodiversity","Sims_Mod_30",0,-0.014,0,0,0.014,0,-0.00800000000000001,0,0,0,0,0.004,0,-0.002,0,0,0.002,-0.034,0,0.01,0,0,0,0.054,0,0,0,-0.004,0,"Industrial","source"
"Salmon->Physical health","Sims_Mod_31",0,0.002,0,0,0.032,0,0.002,0,0,0,0,0.022,0,0.012,0,0,0.01,-0.018,0,0.024,0,0.014,0,0.006,0,0,0,0.0239999999999999,0,"Industrial","source"
"Climate mitigation->Salmon","Sims_Mod_32",0,0.022,0,0,0.048,0,0.034,0,0,0,0,0.038,0,0.04,0,0,0.042,-0.018,0,0.044,0,0.02,0,0.012,0,0,0,0.0119999999999999,0,"Industrial","source"
"Climate mitigation-*Water temperature","Sims_Mod_33",0,0.02,0,0,0.034,0,0.016,0,0,0,0,0.02,0,0.02,0,0,0.022,-0.036,0,0.032,0,0.016,0,0.038,0,0,0,0.0179999999999999,0,"Industrial","source"
"Climate mitigation->Biodiversity","Sims_Mod_34",0,0.02,0,0,0.018,0,0.016,0,0,0,0,0.022,0,0.02,0,0,0.018,-0.0640000000000001,0,0.022,0,0.02,0,0.026,0,0,0,0.0159999999999999,0,"Industrial","source"
"Access to nature->Physical health","Sims_Mod_35",0,0.024,0,0,0.044,0,0.03,0,0,0,0,0.046,0,0.036,0,0,0.04,-0.052,0,0.054,0,0.028,0,0.026,0,0,0,0.0319999999999999,0,"Industrial","source"
"Flooding-*Air quality","Sims_Mod_36",0,0.018,0,0,0.028,0,0.032,0,0,0,0,0.024,0,0.026,0,0,0.024,-0.022,0,0.028,0,0.02,0,0.038,0,0,0,0.0199999999999999,0,"Industrial","source"
"Industrial->Noise","Sims_Mod_37",0,0.0640000000000001,0,0,0.0780000000000001,0,0.0780000000000001,0,0,0,0,0.0700000000000001,0,0.0760000000000001,-1,0,0.0780000000000001,0.208,0,0.0800000000000001,0,0.0760000000000001,0,-0.018,0,0,0,0.0419999999999999,0,"Industrial","source"
"Transportation-*Air quality","Sims_Mod_38",0,0.042,0,0,0.048,0,0.044,0,0,0,0,0.048,0,0.05,0,0,0.052,-0.05,0,0.0660000000000001,0,0.038,0,0.004,0,0,0,0.0379999999999999,0,"Industrial","source"
"Economic wellbeing->Physical health","Sims_Mod_39",0,0.00800000000000001,0,0,0.024,0,0.004,0,0,0,0,0.022,0,0.01,0,0,0.016,-0.05,0,0.026,0,0.004,0,-0.032,0,0,0,0.00800000000000001,0,"Industrial","source"
