"Link","ModelName","Access to nature","Affordability","Air quality","Bacteria","Biodiversity","Climate mitigation","Economic wellbeing","Flooding","Gray infrastructure","Green infrastructure","Industrial","Local foods","Local jobs","Mental health","Noise","Nutrients","Physical health","Property value","Residential","Salmon","Sediment","Social cohesion","Source control","Toxics","Transportation","Urban heat island","Walkability","Water quality","Water temperature","LandUse","Solution"
"Residential->Toxics","Sims_Mod_1",0,0.216,0,0,0.252,0,0.218,0,0,0,0,0.208,0,0.212,0,0,0.218,0,0,0.238,0,0.188,0,-0.992,0,0,0,0.11,0,"Residential","source"
"Industrial->Toxics","Sims_Mod_2",0,0.018,0,0,0,0,0.02,0,0,0,0,0.014,0,0.02,0,0,0.02,0,0,-0.00800000000000001,0,0.016,0,0.02,0,0,0,0.002,0,"Residential","source"
"Transportation->Toxics","Sims_Mod_3",0,0.02,0,0,0.02,0,0.022,0,0,0,0,0.00800000000000001,0,0.022,0,0,0.022,0,0,0.012,0,0.01,0,0,0,0,0,0.002,0,"Residential","source"
"Transportation->Water temperature","Sims_Mod_4",0,0.042,0,0,0.02,0,0.05,0,0,0,0,0.034,0,0.048,0,0,0.048,0,0,0.016,0,0.044,0,0.014,0,0,0,0.034,0,"Residential","source"
"Transportation->Flooding","Sims_Mod_5",0,0.03,0,0,0.0379999999999999,0,0.032,0,0,0,0,0.032,0,0.032,0,0,0.03,0,0,0.0199999999999999,0,0.026,0,0.024,0,0,0,0.03,0,"Residential","source"
"Residential->Nutrients","Sims_Mod_6",0,0.154,0,0,0.156,0,0.156,0,0,0,0,0.15,0,0.156,0,-1,0.156,0,0,0.154,0,0.154,0,0.006,0,0,0,0.148,0,"Residential","source"
"Residential->Sediment","Sims_Mod_7",0,0.148,0,0,0.138,0,0.15,0,0,0,0,0.14,0,0.15,0,0,0.15,0,0,0.126,-1,0.146,0,-0.008,0,0,0,0.124,0,"Residential","source"
"Residential->Bacteria","Sims_Mod_8",0,0.136,0,-1,0.104,0,0.14,0,0,0,0,0.13,0,0.14,0,0,0.136,0,0,0.106,0,0.12,0,0.026,0,0,0,0.092,0,"Residential","source"
"Industrial->Sediment","Sims_Mod_9",0,0.034,0,0,0.0359999999999999,0,0.036,0,0,0,0,0.03,0,0.036,0,0,0.038,0,0,0.0379999999999999,0,0.03,0,-0.026,0,0,0,0.004,0,"Residential","source"
"Industrial->Flooding","Sims_Mod_10",0,0.004,0,0,-0.022,0,0.00800000000000001,0,0,0,0,0.002,0,0.01,0,0,0.00800000000000001,0,0,-0.014,0,0,0,0.044,0,0,0,-0.018,0,"Residential","source"
"Flooding->Bacteria","Sims_Mod_11",0,0.03,0,0,0.002,0,0.03,0,0,0,0,0.024,0,0.03,0,0,0.03,0,0,0.002,0,0.026,0,0.03,0,0,0,0.01,0,"Residential","source"
"Flooding-*Salmon","Sims_Mod_12",0,0.034,0,0,0.0219999999999999,0,0.038,0,0,0,0,0.026,0,0.036,0,0,0.036,0,0,0.0319999999999999,0,0.024,0,-0.018,0,0,0,0.012,0,"Residential","source"
"Water quality->Salmon","Sims_Mod_13",0,0.028,0,0,0.0419999999999999,0,0.032,0,0,0,0,0.026,0,0.026,0,0,0.03,0,0,0.112,0,0.014,0,0.058,0,0,0,-0.012,0,"Residential","source"
"Air quality->Physical health","Sims_Mod_14",0,0.054,0,0,0.0419999999999999,0,0.056,0,0,0,0,0.04,0,0.054,0,0,0.052,0,0,0.0399999999999999,0,0.036,0,-0.024,0,0,0,0.016,0,"Residential","source"
"Urban heat island-*Physical health","Sims_Mod_15",0,0.002,0,0,-0.026,0,0.004,0,0,0,0,-0.004,0,0.004,0,0,0.002,0,0,-0.018,0,-0.004,0,0.082,0,0,0,-0.022,0,"Residential","source"
"Nutrients-*Water quality","Sims_Mod_16",0,0.092,0,0,0.09,0,0.092,0,0,0,0,0.086,0,0.094,0,0,0.092,0,0,0.096,0,0.096,0,0.064,0,0,0,0.112,0,"Residential","source"
"Flooding->Sediment","Sims_Mod_17",0,0.026,0,0,0.00600000000000001,0,0.028,0,0,0,0,0.016,0,0.026,0,0,0.026,0,0,0,0,0.026,0,0.008,0,0,0,0.016,-0.001,"Residential","source"
"Sediment-*Water quality","Sims_Mod_18",0,0.144,0,0,0.146,0,0.144,0,0,0,0,0.142,0,0.142,0,0,0.146,0,0,0.146,0,0.136,0,-0.018,0,0,0,0.112,0,"Residential","source"
"Mental health->Physical health","Sims_Mod_19",0,0.00800000000000001,0,0,0.002,0,0.014,0,0,0,0,-0.00600000000000001,0,0.01,0,0,0.014,0,0,-0.004,0,-0.002,0,0.046,0,0,0,-0.002,0,"Residential","source"
"Water quality->Physical health","Sims_Mod_20",0,0.034,0,0,0.00800000000000001,0,0.036,0,0,0,0,0.034,0,0.034,0,0,0.034,0,0,0.00800000000000001,0,0.032,0,0.038,0,0,0,0.00600000000000001,0,"Residential","source"
"Social cohesion->Mental health","Sims_Mod_21",0,0.00600000000000001,0,0,-0.00800000000000001,0,0.01,0,0,0,0,0.004,0,0.01,0,0,0.00800000000000001,0,0,-0.00800000000000001,0,0.00600000000000001,0,0.006,0,0,0,0.00800000000000001,0,"Residential","source"
