"link","Node","relative_influence","Solution","LandUse","rank","cum_sum"
"Gray infrastructure -* Gray infrastructure","Biodiversity",21.6219240719035,"gray","Industrial",1,21.6219240719035
"Industrial -* Industrial","Biodiversity",14.0081557495085,"gray","Industrial",2,35.630079821412
"Gray infrastructure -* Flooding","Biodiversity",5.3651612237754,"gray","Industrial",3,40.9952410451874
"Industrial -> Flooding","Biodiversity",3.6268746910103,"gray","Industrial",4,44.6221157361977
"Water temperature -* Water temperature","Biodiversity",3.44273180046212,"gray","Industrial",5,48.0648475366598
"Gray infrastructure -* Toxics","Biodiversity",3.06700957851665,"gray","Industrial",6,51.1318571151765
"Sediment -* Sediment","Biodiversity",2.09734276135906,"gray","Industrial",7,53.2291998765355
"Gray infrastructure -* Sediment","Biodiversity",1.51760811971489,"gray","Industrial",8,54.7468079962504
"Flooding -* Flooding","Biodiversity",1.47458981235101,"gray","Industrial",9,56.2213978086014
"Toxics -* Toxics","Biodiversity",1.27922055583504,"gray","Industrial",10,57.5006183644365
"Bacteria -* Bacteria","Biodiversity",1.26077054129019,"gray","Industrial",11,58.7613889057267
"Urban heat island -* Urban heat island","Biodiversity",1.16174286174923,"gray","Industrial",12,59.9231317674759
"Industrial -> Urban heat island","Biodiversity",0.983581842129299,"gray","Industrial",13,60.9067136096052
"Salmon -> Biodiversity","Biodiversity",0.93875113857604,"gray","Industrial",14,61.8454647481812
"Industrial -> Toxics","Biodiversity",0.924017606310712,"gray","Industrial",15,62.7694823544919
"Water quality -* Water quality","Biodiversity",0.879518080692298,"gray","Industrial",16,63.6490004351842
"Green infrastructure -* Noise","Biodiversity",0.852864039357623,"gray","Industrial",17,64.5018644745419
"Bacteria -* Physical health","Biodiversity",0.785731547426669,"gray","Industrial",18,65.2875960219685
"Climate mitigation -> Biodiversity","Biodiversity",0.750783764707469,"gray","Industrial",19,66.038379786676
"Noise -* Noise","Biodiversity",0.719240840329665,"gray","Industrial",20,66.7576206270057
"Noise -* Property value","Biodiversity",0.684681944787013,"gray","Industrial",21,67.4423025717927
"Industrial -* Property value","Biodiversity",0.674850160755613,"gray","Industrial",22,68.1171527325483
"Green infrastructure -> Local jobs","Biodiversity",0.620999165350602,"gray","Industrial",23,68.7381518978989
"Noise -* Physical health","Biodiversity",0.599500101208179,"gray","Industrial",24,69.3376519991071
"Residential -* Residential","Biodiversity",0.592789509842395,"gray","Industrial",25,69.9304415089495
"Biodiversity -> Local foods","Biodiversity",0.57970182772256,"gray","Industrial",26,70.510143336672
"Water quality -> Biodiversity","Biodiversity",0.56701112943538,"gray","Industrial",27,71.0771544661074
"Urban heat island -> Water temperature","Biodiversity",0.534984311084383,"gray","Industrial",28,71.6121387771918
"Industrial -> Sediment","Biodiversity",0.5185071972244,"gray","Industrial",29,72.1306459744162
"Noise -* Social cohesion","Biodiversity",0.503868964749279,"gray","Industrial",30,72.6345149391655
"Source control -* Toxics","Biodiversity",0.49845644560633,"gray","Industrial",31,73.1329713847718
"Flooding -> Sediment","Biodiversity",0.495940109295386,"gray","Industrial",32,73.6289114940672
"Noise -* Biodiversity","Biodiversity",0.483939941309893,"gray","Industrial",33,74.1128514353771
"Residential -> Toxics","Biodiversity",0.473078345499944,"gray","Industrial",34,74.585929780877
"Local foods -> Mental health","Biodiversity",0.470034655565718,"gray","Industrial",35,75.0559644364427
"Local foods -> Social cohesion","Biodiversity",0.457795850389154,"gray","Industrial",36,75.5137602868319
"Mental health -> Physical health","Biodiversity",0.429240233023214,"gray","Industrial",37,75.9430005198551
"Air quality -> Physical health","Biodiversity",0.428465369357017,"gray","Industrial",38,76.3714658892121
"Physical health -> Mental health","Biodiversity",0.424344088687547,"gray","Industrial",39,76.7958099778997
"Water quality -> Local foods","Biodiversity",0.42072137959953,"gray","Industrial",40,77.2165313574992
"Access to nature -> Physical health","Biodiversity",0.406497582832634,"gray","Industrial",41,77.6230289403318
"Economic wellbeing -> Physical health","Biodiversity",0.399990425160551,"gray","Industrial",42,78.0230193654924
"Local foods -* Local foods","Biodiversity",0.398600010731958,"gray","Industrial",43,78.4216193762243
"Transportation -> Urban heat island","Biodiversity",0.389998795343482,"gray","Industrial",44,78.8116181715678
"Industrial -> Noise","Biodiversity",0.388668569077528,"gray","Industrial",45,79.2002867406454
"Climate mitigation -* Water temperature","Biodiversity",0.386612199513602,"gray","Industrial",46,79.586898940159
"Local jobs -> Economic wellbeing","Biodiversity",0.380769423398203,"gray","Industrial",47,79.9676683635572
"Green infrastructure -> Climate mitigation","Biodiversity",0.370592052075318,"gray","Industrial",48,80.3382604156325
"Salmon -> Local foods","Biodiversity",0.369628077053282,"gray","Industrial",49,80.7078884926858
"Transportation -* Transportation","Biodiversity",0.367386612985956,"gray","Industrial",50,81.0752751056717
"Flooding -> Bacteria","Biodiversity",0.366370004736345,"gray","Industrial",51,81.4416451104081
"Physical health -> Economic wellbeing","Biodiversity",0.362505320081871,"gray","Industrial",52,81.8041504304899
"Mental health -* Mental health","Biodiversity",0.354739637338124,"gray","Industrial",53,82.1588900678281
"Property value -> Economic wellbeing","Biodiversity",0.344268978939091,"gray","Industrial",54,82.5031590467672
"Local foods -> Affordability","Biodiversity",0.34378278430595,"gray","Industrial",55,82.8469418310731
"Nutrients -* Nutrients","Biodiversity",0.333677565525806,"gray","Industrial",56,83.1806193965989
"Local jobs -> Social cohesion","Biodiversity",0.332397533286331,"gray","Industrial",57,83.5130169298852
"Economic wellbeing -* Economic wellbeing","Biodiversity",0.331423289860344,"gray","Industrial",58,83.8444402197456
"Green infrastructure -* Urban heat island","Biodiversity",0.329546379813121,"gray","Industrial",59,84.1739865995587
"Water quality -> Salmon","Biodiversity",0.320962239134594,"gray","Industrial",60,84.4949488386933
"Transportation -* Air quality","Biodiversity",0.309584232641324,"gray","Industrial",61,84.8045330713346
"Walkability -> Climate mitigation","Biodiversity",0.306749217668544,"gray","Industrial",62,85.1112822890032
"Urban heat island -* Biodiversity","Biodiversity",0.304989385419801,"gray","Industrial",63,85.416271674423
"Climate mitigation -> Salmon","Biodiversity",0.302041821781334,"gray","Industrial",64,85.7183134962043
"Access to nature -> Property value","Biodiversity",0.298057653613254,"gray","Industrial",65,86.0163711498175
"Mental health -> Economic wellbeing","Biodiversity",0.292686816490843,"gray","Industrial",66,86.3090579663084
"Residential -> Bacteria","Biodiversity",0.289756408868857,"gray","Industrial",67,86.5988143751773
"Physical health -* Physical health","Biodiversity",0.286190435736226,"gray","Industrial",68,86.8850048109135
"Green infrastructure -* Green infrastructure","Biodiversity",0.285949353792242,"gray","Industrial",69,87.1709541647057
"Nutrients -* Water quality","Biodiversity",0.281140737212229,"gray","Industrial",70,87.4520949019179
"Green infrastructure -* Flooding","Biodiversity",0.278360177765455,"gray","Industrial",71,87.7304550796834
"Biodiversity -> Salmon","Biodiversity",0.275588665978507,"gray","Industrial",72,88.0060437456619
"Walkability -> Property value","Biodiversity",0.27462603010611,"gray","Industrial",73,88.280669775768
"Toxics -* Biodiversity","Biodiversity",0.270152911206074,"gray","Industrial",74,88.5508226869741
"Climate mitigation -* Climate mitigation","Biodiversity",0.269651210910166,"gray","Industrial",75,88.8204738978843
"Access to nature -* Affordability","Biodiversity",0.267038920513249,"gray","Industrial",76,89.0875128183975
"Local foods -> Physical health","Biodiversity",0.263622277934567,"gray","Industrial",77,89.3511350963321
"Noise -* Mental health","Biodiversity",0.263552530545136,"gray","Industrial",78,89.6146876268772
"Water temperature -* Water quality","Biodiversity",0.263042946596942,"gray","Industrial",79,89.8777305734742
"Industrial -> Water temperature","Biodiversity",0.261159194798448,"gray","Industrial",80,90.1388897682726
"Affordability -* Affordability","Biodiversity",0.258084646354045,"gray","Industrial",81,90.3969744146266
"Green infrastructure -> Air quality","Biodiversity",0.257109662257911,"gray","Industrial",82,90.6540840768846
"Transportation -> Property value","Biodiversity",0.251582759278987,"gray","Industrial",83,90.9056668361635
"Affordability -> Economic wellbeing","Biodiversity",0.246342852037968,"gray","Industrial",84,91.1520096882015
"Property value -* Property value","Biodiversity",0.244427746128104,"gray","Industrial",85,91.3964374343296
"Residential -> Nutrients","Biodiversity",0.239895722154686,"gray","Industrial",86,91.6363331564843
"Social cohesion -* Social cohesion","Biodiversity",0.239857091106781,"gray","Industrial",87,91.8761902475911
"Walkability -> Social cohesion","Biodiversity",0.238899573422428,"gray","Industrial",88,92.1150898210135
"Water quality -> Social cohesion","Biodiversity",0.232132028188263,"gray","Industrial",89,92.3472218492018
"Sediment -* Water quality","Biodiversity",0.226684715161993,"gray","Industrial",90,92.5739065643638
"Air quality -> Social cohesion","Biodiversity",0.22337781101761,"gray","Industrial",91,92.7972843753814
"Walkability -> Air quality","Biodiversity",0.222627035252448,"gray","Industrial",92,93.0199114106338
"Water quality -> Physical health","Biodiversity",0.21960675458271,"gray","Industrial",93,93.2395181652165
"Access to nature -* Access to nature","Biodiversity",0.215158727076797,"gray","Industrial",94,93.4546768922933
"Economic wellbeing -> Mental health","Biodiversity",0.214169839317393,"gray","Industrial",95,93.6688467316107
"Green infrastructure -> Access to nature","Biodiversity",0.20849946429046,"gray","Industrial",96,93.8773461959012
"Air quality -* Air quality","Biodiversity",0.20604778402057,"gray","Industrial",97,94.0833939799218
"Access to nature -> Walkability","Biodiversity",0.20559107822372,"gray","Industrial",98,94.2889850581455
"Walkability -* Noise","Biodiversity",0.202890588634398,"gray","Industrial",99,94.4918756467799
"Green infrastructure -* Sediment","Biodiversity",0.202071345393822,"gray","Industrial",100,94.6939469921737
"Green infrastructure -* Toxics","Biodiversity",0.197403001335813,"gray","Industrial",101,94.8913499935095
"Urban heat island -* Physical health","Biodiversity",0.196658100825646,"gray","Industrial",102,95.0880080943352
"Walkability -> Physical health","Biodiversity",0.19475034993306,"gray","Industrial",103,95.2827584442682
"Economic wellbeing -> Affordability","Biodiversity",0.191773833416387,"gray","Industrial",104,95.4745322776846
"Transportation -> Water temperature","Biodiversity",0.188508345302607,"gray","Industrial",105,95.6630406229872
"Toxics -* Salmon","Biodiversity",0.187798919761231,"gray","Industrial",106,95.8508395427484
"Toxics -* Water quality","Biodiversity",0.185365805732767,"gray","Industrial",107,96.0362053484812
"Bacteria -* Local foods","Biodiversity",0.183973785867996,"gray","Industrial",108,96.2201791343492
"Gray infrastructure -> Local jobs","Biodiversity",0.181625951097799,"gray","Industrial",109,96.401805085447
"Local jobs -> Property value","Biodiversity",0.180379758014269,"gray","Industrial",110,96.5821848434613
"Toxics -* Physical health","Biodiversity",0.174991717881083,"gray","Industrial",111,96.7571765613423
"Transportation -> Noise","Biodiversity",0.171748287336929,"gray","Industrial",112,96.9289248486793
"Transportation -> Toxics","Biodiversity",0.171722250001228,"gray","Industrial",113,97.1006470986805
"Source control -* Source control","Biodiversity",0.170381810151661,"gray","Industrial",114,97.2710289088322
"Industrial -* Air quality","Biodiversity",0.167634440970636,"gray","Industrial",115,97.4386633498028
"Access to nature -> Social cohesion","Biodiversity",0.167018028503477,"gray","Industrial",116,97.6056813783063
"Salmon -* Salmon","Biodiversity",0.158639382689182,"gray","Industrial",117,97.7643207609955
"Residential -> Sediment","Biodiversity",0.154881672936298,"gray","Industrial",118,97.9192024339318
"Flooding -* Air quality","Biodiversity",0.151516655123889,"gray","Industrial",119,98.0707190890557
"Transportation -> Flooding","Biodiversity",0.149891180689747,"gray","Industrial",120,98.2206102697454
"Social cohesion -> Mental health","Biodiversity",0.147514011608264,"gray","Industrial",121,98.3681242813537
"Biodiversity -* Biodiversity","Biodiversity",0.147001295537579,"gray","Industrial",122,98.5151255768912
"Access to nature -> Local foods","Biodiversity",0.145073214762162,"gray","Industrial",123,98.6601987916534
"Local jobs -* Local jobs","Biodiversity",0.144680670772327,"gray","Industrial",124,98.8048794624257
"Walkability -* Walkability","Biodiversity",0.141301729684393,"gray","Industrial",125,98.9461811921101
"Salmon -> Physical health","Biodiversity",0.136833219349954,"gray","Industrial",126,99.0830144114601
"Access to nature -> Mental health","Biodiversity",0.134497551335031,"gray","Industrial",127,99.2175119627951
"Bacteria -* Water quality","Biodiversity",0.12926217803987,"gray","Industrial",128,99.346774140835
"Flooding -* Salmon","Biodiversity",0.128250555583773,"gray","Industrial",129,99.4750246964188
"Walkability -> Affordability","Biodiversity",0.121998386941298,"gray","Industrial",130,99.5970230833601
"Flooding -* Property value","Biodiversity",0.114546737626728,"gray","Industrial",131,99.7115698209868
"Property value -* Affordability","Biodiversity",0.109369597900692,"gray","Industrial",132,99.8209394188875
"Climate mitigation -* Urban heat island","Biodiversity",0.102819300304437,"gray","Industrial",133,99.9237587191919
"Industrial -> Local jobs","Biodiversity",0.0762412808080691,"gray","Industrial",134,100
"Gray infrastructure -* Gray infrastructure","Physical health",23.4117004857823,"gray","Industrial",1,23.4117004857823
"Industrial -* Industrial","Physical health",16.5326669224743,"gray","Industrial",2,39.9443674082566
"Gray infrastructure -* Flooding","Physical health",7.43425276789097,"gray","Industrial",3,47.3786201761476
"Industrial -> Flooding","Physical health",4.86977930406263,"gray","Industrial",4,52.2483994802102
"Water temperature -* Water temperature","Physical health",3.93443411022458,"gray","Industrial",5,56.1828335904348
"Gray infrastructure -* Toxics","Physical health",2.5174410502878,"gray","Industrial",6,58.7002746407226
"Gray infrastructure -* Sediment","Physical health",1.99652970396751,"gray","Industrial",7,60.6968043446901
"Sediment -* Sediment","Physical health",1.50583230231233,"gray","Industrial",8,62.2026366470024
"Noise -* Property value","Physical health",0.87147390705126,"gray","Industrial",9,63.0741105540537
"Noise -* Noise","Physical health",0.868876794200466,"gray","Industrial",10,63.9429873482541
"Industrial -* Property value","Physical health",0.813219637826481,"gray","Industrial",11,64.7562069860806
"Local foods -* Local foods","Physical health",0.810555480630065,"gray","Industrial",12,65.5667624667107
"Climate mitigation -> Biodiversity","Physical health",0.806054403551646,"gray","Industrial",13,66.3728168702623
